"idbug","where","what","status","developers","testers"
"93184","調査 4000_2_3_SMBC請求データ作成バッチ","(UATxxx)対象データがない場合にファイルが作成されない(SMBCPOS)","investigation_done","Mon","MJ"
"93183","調査 4000_2_3_SMBC請求データ作成バッチ","(UATxxx)エラー終了した場合にshima_batch.last_start_dateが更新されない(SMBCPOS)","investigation_done","Mon","MJ"
"93182","調査 4000_2_3_SMBC請求データ作成バッチ","(UATxxx)子バッチでエラーになった場合にバッチが止まらない(SMBCPOS)","investigation_done","Mon","MJ"
"93166","周知","周知：店舗は3桁の物を使ってください","closed","Mon","Janine"
"93165","smbcpos_training環境_更新依頼","smbcpos_training環境_更新依頼","upload_check",,
"93156","MOD-DEV:テーブル定義　JANコードとSMBC読込機能","(UATxxx)テーブル定義(SMBCPOS14s)","staging_uploaded","Clark","Anna"
"93151","NEW DEV: 4000_3_1_SMBC買取状態読込","(UATxxx)新規開発(SMBCPOS15s)","staging_uploaded","Adolf","Janine"
"93148","4000_2_3_SMBC請求データ作成バッチ","(UATxxx)sms_transaction.payment_typeがblankのデータが対象になっていない(SMBCPOS)","developed_testing","Mon","MJ"
"93147","調査　4000_2_3_SMBC請求データ作成バッチ","(UATxxx)「shima_schedule」テーブルを検索している(SMBCPOS)","investigation_done","Mon","MJ"
"93146","MOD-DEV: 4000_1_3_SMBC債権買取顧客情報送信バッチ","(UATxxx)翻訳のみ_ファイル定義の整理(SMBCPOS)","closed",,"Jeff"
"93139","調査","（本番サポート）2200_1_1_学年更新　多重起動していないか","investigation_done","Adolf","Janine"
"93138","MOD DEV: 4000_2_3_SMBC請求データ作成バッチ","(UATxxx)加盟店管理情報2に半角文字が存在する場合は全角文字に変換して出力する(SMBCPOS14s)","staging_uploaded","Mon","MJ"
"93136","LWPOSSalesInterfaceSystemInquiry_AN　関連：93110","(UATXXX)60秒timeout　のwasedazemiのアクセス廃止(SMBCPOS13s)","staging_uploaded","Jed","Jeff"
"93135","POSRegisterSalesInterfaceSystemAPI_AN　関連：93110","(UATXXX)60秒timeout　のwasedazemiのアクセス廃止(SMBCPOS13s)","staging_uploaded","Roy","Jeff"
"93132","POSRegisterSalesAPI　関連：93110","(UATXXX)60秒timeout　のwasedazemiのアクセス廃止(SMBCPOS13s)","staging_uploaded","Jed","MJ"
"93110","調査　config","(UATXXX)configにあるtimeout_test　について","other","Jed","Jeff"
"93108","MOD DEV: 売上照会API　LWPOSSalesInterfaceSystemInquiry_AN　関連：93086","(UATXXX)POSのAPIのアクセス時にSSL証明書を読み込んでからのアクセスの改修(SMBCPOS13s)","staging_uploaded","jed","Jeff"
"93107","MOD DEV: アクセストークンAPI　POSRegisterSalesAPI　関連：93084","(UATXXX)POSのAPIのアクセス時にSSL証明書を読み込んでからのアクセスの改修(SMBCPOS13s)","staging_uploaded","Jed","MJ"
"93106","MOD DEV: 売上データ登録API　POSRegisterSalesInterfaceSystemAPI_AN　関連：93085","(UATXXX)POSのAPIのアクセス時にSSL証明書を読み込んでからのアクセスの改修(SMBCPOS13s)","staging_uploaded","Roy","Jeff"
"93087","調査 APIアクセス検証　関連：92998","(UATXXX)ブラウザ経由と、システムからのアクセスの違いの原因の調査","other","Jed","MJ"
"93086","調査 売上状況照会API　LWPOSSalesInterfaceSystemInquiry_AN","(UATXXX)POSのAPIのアクセス時にSSL証明書を読み込んでからのアクセスの検証依頼","other","Jed -> Mon","Jeff -> Anna"
"93085","調査 売上データ登録API　POSRegisterSalesInterfaceSystemAPI_AN","(UATXXX)POSのAPIのアクセス時にSSL証明書を読み込んでからのアクセスの検証依頼","other","Roy","Jeff -> Anna"
"93084","調査 アクセストークンAPI　POSRegisterSalesAPI","(UATXXX)POSのAPIのアクセス時にSSL証明書を読み込んでからのアクセスの検証依頼","other","Jed -> Mon","MJ -> Anna"
