"600009","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ9ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北九条西","北海道札幌市中央区北九条西"
"600010","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ10ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十条西","北海道札幌市中央区北十条西"
"600011","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ11ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十一条西","北海道札幌市中央区北十一条西"
"600012","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ12ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十二条西","北海道札幌市中央区北十二条西"
"600013","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ13ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十三条西","北海道札幌市中央区北十三条西"
"600014","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ14ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十四条西","北海道札幌市中央区北十四条西"
"600015","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ15ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十五条西","北海道札幌市中央区北十五条西"
"600016","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ16ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十六条西","北海道札幌市中央区北十六条西"
"600017","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ17ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十七条西","北海道札幌市中央区北十七条西"
"600018","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ18ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北十八条西","北海道札幌市中央区北十八条西"
"600020","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ20ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北二十条西","北海道札幌市中央区北二十条西"
"600021","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ21ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北二十一条西","北海道札幌市中央区北二十一条西"
"600022","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ22ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北二十二条西","北海道札幌市中央区北二十二条西"
"640943","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｻｶｲｶﾞﾜ","北海道","札幌市中央区","界川","北海道札幌市中央区界川"
"640931","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ﾅｶｼﾞﾏｺｳｴﾝ","北海道","札幌市中央区","中島公園","北海道札幌市中央区中島公園"
"640945","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ﾊﾞﾝｹｲ","北海道","札幌市中央区","盤渓","北海道札幌市中央区盤渓"
"640942","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ﾌｼﾐ","北海道","札幌市中央区","伏見","北海道札幌市中央区伏見"
"640946","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ﾌﾀｺﾞﾔﾏ","北海道","札幌市中央区","双子山","北海道札幌市中央区双子山"
"640944","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ﾏﾙﾔﾏﾆｼﾏﾁ","北海道","札幌市中央区","円山西町","北海道札幌市中央区円山西町"
"600051","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ﾐﾅﾐ1ｼﾞｮｳﾋｶﾞｼ","北海道","札幌市中央区","南一条東","北海道札幌市中央区南一条東"
"600061","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ﾐﾅﾐ1ｼﾞｮｳﾆｼ","北海道","札幌市中央区","南一条西","北海道札幌市中央区南一条西"
